Designator,Footprint,Quantity,Value,LCSC Part #
"3V3D1, 5V1, MISO1, MISO2, MOSI1, MOSI2, RX1, SCK1, SCK2, TX1",KEYSTONE_4952,10,4952,
"C1, C10, C28, C33, C6, C7, C8, C9",0805,8,1uF,
"C2, C5",0603,2,6pF,
"C27, C3, C4",0805,3,0.1uF,
C31,0805,1,10nF,
"D2, D3, D4, D5, D6",1206,5,LED,
F1,0805,1,1A,
J1,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Debugging Connector,
"J10, J11, J3, J4, J6, J7, J8, J9",CONN6_S6B-PH_JST,8,Conn_01x06_Pin,
J2,microSD_Molex_WM6698CT-ND,1,Micro_SD_Card,
J5,connector_Harwin_G125-MH104M4-04AD000P,1,G125-MH104M4-04AD000P,
R1,0805,1,R_US,
"R10, R11, R12, R13, R3, R4, R5, R6, R7, R9",0805,10,220R,
"R2, R8",0805,2,4.7KR,
U1,U_SHT3_SEN-M,1,SHT31-DIS-B2.5KS,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
U2,SOT-23-5,1,INA180A1,
U3,SOT-23-5,1,SPX3819M5-L-3-3,
U4,QFP50P1600X1600X160-100N,1,STM32H750VBT6TR,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,24MHz crystal,
