Designator,Mid X,Mid Y,Rotation,Layer
3V3D1,83.5,-42.5,0.0,top
5V1,96.25,-34.25,0.0,top
C1,44.55,-48.15,180.0,top
C10,51.6875,-44.0,180.0,bottom
C2,43.95,-46.2,0.0,top
C27,93.3875,-43.3,180.0,top
C28,90.85,-32.2625,90.0,top
C3,100.1625,-55.55,0.0,top
C31,84.3,-38.475,270.0,top
C33,88.9,-40.5625,270.0,top
C4,92.6,-50.5125,90.0,top
C5,40.4625,-41.8,180.0,top
C6,65.85,-35.65,0.0,top
C7,48.7625,-53.8,180.0,top
C8,63.5,-53.4,0.0,top
C9,47.15,-34.3,180.0,top
D2,25.7125,-43.7,180.0,top
D3,25.7125,-40.55,180.0,top
D4,25.7125,-37.55,180.0,top
D5,25.7125,-34.8,180.0,top
D6,25.7125,-31.75,180.0,top
F1,100.55,-39.4,90.0,top
J1,76.63,-36.6,90.0,top
J10,50.86655,-18.544728,0.0,top
J11,94.049999,-68.457843,180.0,top
J2,57.32,-17.34,180.0,bottom
J3,72.3,-18.65,0.0,top
J4,30.1,-18.397299,0.0,top
J5,105.9675,-44.025,90.0,top
J6,72.93345,-68.305272,180.0,top
J7,30.099999,-68.307843,180.0,top
J8,51.9,-68.252701,180.0,top
J9,93.0,-18.6,0.0,top
MISO1,62.25,-60.0,0.0,top
MISO2,37.75,-30.25,0.0,top
MOSI1,41.25,-61.0,0.0,top
MOSI2,41.75,-26.25,0.0,top
R1,96.4,-37.15,180.0,top
R10,61.5,-20.0,180.0,top
R11,61.75,-24.25,0.0,top
R12,62.75,-26.5,0.0,top
R13,66.5,-25.25,0.0,top
R2,51.25,-31.0,180.0,bottom
R3,32.1,-43.8,0.0,top
R4,32.1,-40.5,0.0,top
R5,32.1,-37.56,0.0,top
R6,32.1,-34.82,0.0,top
R7,32.1,-31.7,0.0,top
R8,51.25,-33.25,180.0,bottom
R9,62.0,-17.25,180.0,top
RX1,83.0,-51.75,0.0,top
SCK1,75.0,-56.0,0.0,top
SCK2,84.75,-31.0,0.0,top
TX1,86.5,-47.25,0.0,top
U1,51.277737,-31.2,180.0,top
U10,98.75,-51.15,270.0,top
U2,96.3875,-40.2,0.0,top
U3,87.25,-35.9125,90.0,top
U4,55.8,-43.5,0.0,top
Y1,44.1,-43.05,90.0,top
